speaker_tag	text	sentiment_score
1	You're listening to the classroom collaborative podcast with your hosts.	0.0
2	Deedee wills and Brock and Adam Peterson who we are so glad you're here. Let's get started.	1.0
1	All right, everybody. Welcome back to the classroom collaborative podcast. We are super excited to hear my good friend Dee Dee was on the other end of this call. How are you? I'm great.	1.0
2	How are you?	0.0
1	I'm doing awesome. It's always good to see you. And I know we say that all the time that we get to see each other when we do this and we hope you guys enjoy our conversations. We've had a blast doing these and we're just having fun sharing ideas and getting your feedback. So thank you to all of you who are listening and sharing them out. We appreciate it.	1.0
2	So today we're going to talk about a subject the subject of kindness we I know that you know as teachers we are hopefully modeling kindness and our classroom kindness on the playground kindless with our peers kindness with their peers because the students the students are looking at you they're noticing you they're watching you and so I was reading an article the other day and found not an unsurprising but it's still a little bit of alarming statistics about what teachers are seeing in their classroom teachers are reporting about a 30% increase in bullying or unkind Behavior being displayed over the last couple of years. It's not surprising but it's still alarming. I think it's not surprising because we are seeing more bullying type of behavior or unkind Behavior through different types of social media channels the way people interact with each other and so students are noticing children are noticing what they're seeing and it's coming back into our classroom. So I thought today would be a great time to talk about kind. This how we how do we Foster kindness in her classroom? And Adam is first of all, one of the kindest people. I know I'm not just saying that because he's staring at me like I totally feel that way and if you've met him before I know that you agree, but he also does some really specific things in his classroom to help Foster that kindness and so I thought maybe Adam you could speak to that.	1.0
1	Well, yeah then thank you for that. I you know, I'm I don't know how to respond to that. I appreciate that more than you know, don't get me wrong. I have my share of demons. My closet as well and there are people who know that I can I'm a big believer in in sharing your feelings regardless of what because that's how people get to know you. So yes, I try to be the kindest person possible and I hope that I am especially with students. I always am but let's be honest. We all have our moments right? I definitely want to wear my heart on my sleeve. That's why I have a tattoo of a heart stone on my wrist because I do but no, I really appreciate that more than you know, and and I can't take total credit for For my I guess philosophy or attitude or just believe on this subject it stemmed from well. First of all, my upbringing I was raised by the best parents in the world and completely always surrounded by Family transition that to school. I had some of the best teachers in the world. I was lucky enough to go to a very very small school. So everybody knew everybody, you know your teachers Knew by first middle and last name then your family. I was raised in a kind World, which I think a lot of people our age were and unfortunately, Times have changed like you said times are changing and times are changing in and I'm a big believer that no one was was inherently born as an unkind human being it's something you're taught. It's something that you've experienced. It's what you were surrounded by on a daily basis and my goal. Our goal is to Decatur's should be to reverse that statistics and get it back to you know, I don't know just get the world to be one happy place. I know that sounds so cliche and and cool, but Then moving forward I guess to go back into my philosophy. And reason for this stemmed from a woman who was my mentor teacher and I know I've told this story before on multiple platforms and media devices and want to hear it again.	1.0
2	I wanna hear it again.	0.0
1	It's something I never get sick of telling because because I love this lady with all my heart. So when I started teaching I moved two and a half hours away from home. I knew like obviously my wife's family. That's but that's all I knew up here. I didn't know any teachers. I know nothing about the school Trish and I I moved to a town near her hometown. So we were near her family and I started this job at an amazing team that took me in there under their wings and we just we got along super great and we just had a blast together. And at the time we were a team of three teachers and I kept hearing these stories about this teacher who was now in the junior high level. Her name was honor Trotter and she had taught kindergarten. Actually. My room was her kindergarten room before I came and I got to know honor a little bit over the first couple years of teaching because she was doing A junior high like I don't science work, but she's also doing reading Specialists work on our end. So my kids got to go see her every now and then and I just I would spend my break. I know that seems like a weird word and education so we don't really get those but my break with my students would actually get time as a class to go see honor in Reading tight like that await a specific dedicated reading block that she got to take kids and do awesome activities. I found myself not taking a break but sitting and watching her and I was amazed at the way this woman taught and II guess our school didn't really have an official Mentor program at the time but I considered her my mentor because I learned more from her than I ever did from any textbook or any course I ever took and it it wasn't just about teaching it was just about the way she interacted with with not just students but human beings and I use that term a lot when I go out and speak that we need to treat these people in our classrooms and our lives not as students that are walking through a door. But his people is anybody else wants to be treated, you know, so I learned a lot from her on that subject and then When she was close to retirement, she actually came back to kindergarten she joined our kindergarten because our numbers were growing and she went to our board and our Administration said listen. I know you're going to be hiring kindergarten. Please. Let me finish up my career there where I started and of course they were like, yeah, let's do it. So I want to say I don't remember the number off the top of my head, but maybe the last five six seven years of her career were spent in kindergarten and I got to be a part of her team. It was it was awesome. We were team before for a while then a team of five them sema4 went back and forth, but it was always Myself, my neighbor Tiffany and Lori who were my three what I started and then honor it was always the four of us plus another 1 or minus another one and honored just to just was just an awesome person in the working with and getting to learn from her and then two years before she was about to retire. She was kind of forced into early retirement because she was diagnosed with cancer that forced her to stop teacher Chic. She had to take care of herself as she was weakening. She only made it about nine months. After she was diagnosed and I'll never forget when she called me up one day. I still remember I was laying on my couch watching a movie phone rings. It was like a Saturday and it was her and she was he come over for a minute and she lived like a half hour from where I live. So it's like yeah. Yeah, like what what's up, you know and my daughter was I think to at the time so she was probably napping and I just looked at Trisha. I'm like I need to go to honors house and she's like for what it's like I really don't know and I knew that she had been out and having some medical issues. I didn't know that it was going to be big and she sits me down a couch and tells me that she has cancer and of course as anybody would I lost it I started crying and I didn't know what to think and she didn't shed a tear. She's smiling at me and I looked at him like what are you doing? Like, how are you know said she goes she goes I've cried out of my I cried when I got the diagnosis, but she goes I've learned to accept the fact that there's a reason that I have cancer and and how it blew my mind. I mean, I probably jaw dropped look they're like, what do you mean there's a reason like no, there's no For a reason for this and she truly was the most hopeful person in the world. She believed that there was a purpose to her being diagnosed with cancer and I know the stories going on. I apologize for rambling but there's a point to this there really is. So I guess the point this is that that there was never specific lesson from her that she came out and said this is the way you should be treating people or here's a lesson on kindness or here's a lesson on bullying or is she there was never a specific thing that I recall a my mind at all it started with that moment when she Said to me there's a purpose for this and at that time I had no idea that it was becoming it was I had no idea. I mean no one thought she's gonna pass away as fast. She did we just we didn't really know and then when we lost honor we never got to find out what she thought her purpose was, right? So honored passed away nine months after diagnosis, May 6th of 2013 and the week after her funeral or that actually three days after she passed away was her birthday birthday is May 9th and on that day our entire Will went out back and we bought I don't remember how much I think we bought 60 because it was gonna be on her 60th birthday on May 9th. We bought 60 yellow balloons and released them one of our past PE teachers who had taught With Honor for 30 plus years brought little yellow bracelets to the school for everyone like rubber bracelets, you know that said honoring Honor on them. She given to every student staff member like thousands of these bracelets were headed out and I just remember being out on this lawn with our entire School telling stories of her microphone. Everybody got to kind of share their story about honor that was close to her. We sang Happy Birthday. We let these balloons go and and something about that day and the I don't have image the balloons were yellow honors favorite color was yellow. So that's the reason for the yellow balloons the yellow bracelet. She just loved the color yellow and that day became an image. I guess that was etched into our school forever now because it's continued but so fast forward again, and that year went on we all made it. Through the school year a new year started and then things started to seem kind of weird as they would if you lost, you know a family member best friend are our building just didn't seem the same we knew she was still there, but we can still hear her laugh in the hallway. We knew she was there but something struck me as something I guess important in the fact that I needed to find a way or we as a team or a teacher group or a school need to find a way to keep her alive in our building as much as possible and to do that on my end. I mean, we've all done our own share of things of sharing her story of an item. High-end, I wrote a book about her and it was a book called yellow that Shameless plug here. You can find on Amazon or you know, you don't have to buy my book. You can go to my YouTube channel teachers learn to dot common and see a free video of me reading it to your class. So check that out. But anyway, I wrote this book as a way to keep her alive because I felt there were so many students and staff cheated out of getting to know her and I felt lucky that I got to write. So I wrote this book. I got to start traveling around to schools as an author of all things which Blew my mind because I just wrote this just for her, you know sharing honor story. And the reason that was brought up was because her story was all about just making people happy and there's a line on the book that says Honor made people's gray skies into yellow Skies or turn people's gray skies and yellow skies because that's what she did and it wasn't. I mean, I know there's so many kindness campaigns out there then they're all great, but hers wasn't about doing anything for anyone. It wasn't about doing a random act of kindness. It was more so that she got people to realize the good in. Side themselves just like being the person she was and I know that sounds kind of confusing but I don't know how she did it. But she made you feel like the best person in her life. No matter what it was and she just found a way to make everybody smile and make you very happy. Yeah, and that's the kind of kindness that she spread was just getting other people to feel good. It wasn't going out of her way to do anything. She was just that type of human being she made everybody feel special special. Yeah an important and noticed, you know, And she made you feel good about yourself. She brought out something in me that I don't know. I'd ever experienced before you know, so I keep saying this but fast forward again and I think three or four years after she had passed away we decided to keep her birthday celebration going but even more and Anna term had come up from my book called make someone's day yellow and we just kept using that over and over again in our building would skip say to make someone's day LSA make someone's day yellow today rather than saying like pay it forward. We just said make someone's day yellow And we decided to do that. So we on May 9th three years ago, four years ago. Whatever. The first one was. We decided to celebrate honors birthday at our school with what we call Yellow day and we did just kind things all day long. We decorate our entire school to look yellow. I mean balloons streamers posters. Everything was turned yellow we did do random acts of kindness for people around the building. So we delivered like flowers to the secretaries and just rope notes to teachers and random people saying smile today are hope you have the best day ever. Or thank you for being you just things that honor would have done without really knowing them we decided to do purposefully, right and after it happened after yellow to happen. I videoed the whole thing. I put on my YouTube channel and about two weeks after the day. I got a message from a teacher and I look at the location. It was from Australia, and it blew my mind that someone lost really was even watching my little YouTube channel, right? I looked at the comment and said thank you for sharing this message. We're going to try to do a yellow day at our school and I I remember running to school the next day like oh my gosh you guys check this out someone in Australia is going to do our celebration like it's going to spread and then these emails and messages started coming in at one after another after another after another and and over the past three years of doing yellow day at our building and then spreading around other schools and other states and other countries we've hit I think eight different countries where we've seen yellow Day celebrated and 35 different states within the u.s. I can't count the number of schools that it's reached. The number of people it's reached but yellow day has become a movement is what we've used the term as As you know and going back to an honor was diagnosed and what this all meant. I truly believe that everything that happens in your life is done for a purpose whether you want to believe in a higher being or not or what your beliefs are. It doesn't matter to me. Everything happens for a reason. Let's not deny that fact there's a reason behind everything that happens and I never forget two years ago on the other day when it was really getting big and blowing up. We were getting messages from schools left and right and people post on social media like picture after picture after picture after picture. A bunch of us teachers were standing outside my classroom door talking and showing sharing images of images that we were tagged in after school. And one of our first grade teachers Donna walks by and she goes this is it Adam and I said, excuse me, and she is this is the purpose and I said, what do you mean and she goes this is why honor had cancer and I lost it like a probabilistic. I lost it. I'm like, oh my gosh, that's true. Like we never got to find out what honor believed her purpose for having cancer was until that day and we truly feel like her reason for being diagnosed.	1.0
2	Know'st was to start this movement and get people to realize the good another people and when there's one there are these horrible events that happen whether it happens to a person it happens to a building and happens to an area. It's hard to to see at the moment what that you know, where the good can come from it right? It's hard to see that because it just feels so awful. But I think that I think that what you're saying is we have to Look for look for the positive that can come from it. Even how painful that is. Look for that positive and then and take action as a result of what you see that that is DD an awesome way to say it and an awesome.	1.0
