speaker_tag	text	sentiment_score
3	Have you ever thought about starting a podcast but all of the technical details scare you away? This is why Jen and I love anchor anchor is a free tool that allows us to record edit and it even distributes our podcast to the most popular platforms for us. We are too busy Mama's in learning a crazy complicated technical platform is not on our list of things to do so If you want to get started download the free anchor app or go to Anchor to FM to get started. Hi, it's Jenn. And I'm Audrey and this is the murky motherhood podcast the podcast that tackles the tough questions.	1.0
1	We all have but don't want to talk about so grab a cup of coffee and maintain your speed limit and let's navigate these murky Waters of motherhood together.	1.0
3	So this week on the podcast we are going to be diving into everyone's favorite friend anxiety and Jen and I are going to be sharing our story and what things that we have found help us to decrease our anxiety and what things kind of trigger our anxiety and let's do this together. And we are going to talk about everyone's favorite topic shopping.	1.0
1	No manicures massages yelling at your husband know that that actually that actually leads to this or right I'm tributes that too.	-1.0
3	So we're going to talk about anxiety. So part of this podcast is really we really want to kind of get down into the nitty-gritty of all the things and Is just kind of a constant part of my life. So me too. We were like, you know what? I'm sure other people struggle with this too. And so let's talk about it.	1.0
1	Let's bring it out there and well, I'm I'm really guilty of like sharing memes all in like inspirational quotes and things like that on Instagram all the time talking about you anxiety and self-care and you know how you can manage it and sure that sounds nice and fluffy, but not all the time. Can we manage it with memes and coffee? And taking a bubble bath. So right which I mean it all helps but yeah, sometimes sometimes sometimes yeah, we'll see so so I know Audrey and I have spoken obviously beforehand about our previous experiences with anxiety and we have both in in overtime bin both diagnosed with a clinically diagnosed with anxiety. So I thought what we do first is kind of tell our like a briefly tell our story about how the It impacted us and then kind of what we're doing with it now and then maybe talk about some ideas of how we can other than a bubble bath how we can kind of help to relieve some of that anxiety when we're having those stressful days. Yeah, you wanna go first.	1.0
3	Yeah, I'll go first. So I think anyone who probably knows me since I was a kid knows that Audrey was that anxiety girl the worrier and I grew up in the church and so a big Big part of my upbringing was you know, pray about it and you know, don't worry don't be anxious and have faith and all of that stuff is fantastic and amazing and it is helpful. But sometimes if you have a sinus infection or you have the flu you go get medicine to help you with that or you go see a doctor and so my anxiety kind of got to a point where it was really hard to even function where it was just like okay something is not right here. And so I would say probably probably in college is kind of when I finally was like, all right, this is not this is not normal like normal people don't get this worried to the point of you know, you can't even do new things or you can't function in life. And so I started first seeing a counselor and she was really really helpful. I think one thing about a counselor is they're awesome. But sometimes we kind of view them as like a Next it's like okay, I'm gonna fix it. But just like a car you don't get your oil changed once and then drive the car for 10 more years sure. So I think with anxiety different things in your life can kind of happen and it rears its ugly head. And so I think it's important to kind of know yourself and know what your triggers are and and acknowledge them and then not wait until things get really really bad before you try to get. Because it's just going to be that much harder to dig kind of dig out of it. Yeah, for sure. Yep.	-1.0
1	Awesome. Awesome, but good story.	1.0
3	Yeah, so glad you have anxiety.	1.0
1	I know it's a lot but but you know what? It's so common now, it's one of those like, oh, I have anxiety who have anxiety. I have depression. You have depression who like right is it is it you have a mental illness and I really love just that there is such a spotlight on it right now. I mean, I I have always gosh my parents got Divorced when I was we moved here to st. Louis when I was in third grade my parents got divorced when I was in fourth grade and that was a pretty ugly divorce. And so because of that my parents had put me in counseling with my brother. So I was used to that concept and then I went through high school and my dad was diagnosed with ALS and that just whole concept of watching my dad died for 18 years that was a lot but in the middle of that I kind of I was always the kid who had To do all the things I mean the old the oldest so I always felt the need to always be have be perfect and get good grades and Achieve and do all the great things - Sports because I suck at Sports and basically I went to college had a awful breakup with a boyfriend and I just kind of went off the deep end. I was I would say I can't quite remember two years of my life and rightfully so and that's that. My twin just the combination of my dad and that that break up like we were going to get married. It was like a whole thing. Like we were we were there and going I switched schools and like it just all kind of like whoo One Time Hit me and at that point my parents were like, okay, it's time like we need to talk to somebody you need to go see somebody and I started seeing a therapist and a weekly basis and I was diagnosed with anxiety PTSD from my parents divorced. From fourth grade which always seems kind of strange but I guess yeah, they're the experts there and it was recording of my Apple watch was recording that and so I started seeing by somebody and we talked and I we did we I went every week and like they would give me things to work on or things so and I was medicated at that point. I think I was on two different medications and I felt good and I felt like I was starting to like get the tools that Did to like handle my situation and and then kind of calm myself down when I was, you know, feeling overwhelmed and stressed. They actually were able to help me give me extra time for taking tests and things like that at school because I would just get so overwhelmed that I could like put I wouldn't even take the test. I would just sit there and like fries. Yeah, which then made my last two years of college extremely difficult, right? And but then it was one of those really crazy things that I met my husband. Well, it was my seen my super senior year of Cool, super super semester my life physical senior plus like the extra semester and I met Jeff and it was one of those things that like, I don't know if it was just our yin and yang - of our personalities. He was able to just come in and be a really great kind of source of balance and understanding for me and slowly over that first year of us dating. I wean myself off of all of the medication that I had been on now people would be like, oh that's probably not the best idea but for He understood like where I was coming from and he knew my whole background and he was like he was in favor. Whatever I needed to do. Yeah, but he definitely wanted to make sure that one he could be as part of a because he could be in our relationship and so I have not been on medication since then but up until now I have recently started well in the last year or so. I started going back to a therapist just with Hattie going back to school and trying to figure out life and what's next for me in terms. Of the crazy world and just my role as a blogger and an influencer how that's changed. I get a lot of anxiety from just being a blogger. Yeah. So being on Instagram all the time feeling like you always have to be on and feeling exhausting for an extroverted interview. Yes. So exhausted. I'm feeling like you always have to have something fresh and new and that are going to get people excited to see what you're doing that day. That's A lot and then the flip side of that is if you would if you think you post something that's so you think you work so hard you did so great and then it tanks and it's like right. Well, you know, maybe I'm a failure or what's going on and then then there's days where like or I get a comments or I get like a series of things happen. I'm also really bad about like collecting all of my feelings and then exploding. Yeah. So that's also a whole nother conversation for another day, but it's I could basically like have a comment that will trigger me and then I Disappear for like a couple of days and and I just don't want to deal with like the world. But here I am. I've selected a profession that makes me forward facing to the world, but I'm human so it's kind of hard like it's it's a lot. So yeah, so I mean I find it helpful to you go to a therapist now I do so, but I feel like sometimes I find it helpful like we just sometimes we have nothing to talk about and like and those are the days I don't you. I have the same situation you go in and having nothing to talk about and then like some ugly yucky stuff. Just yeah boils up from the bottom and you're like where did that come from? So like did not play in that but here we are.	-1.0
3	Yeah, so and I think you and I are like, I'm the oldest child too and my brothers eight years younger than me. So I was kind of an only child for quite a while to and I also combat it anxiety by doing things and over functioning and that's kind of when I need to get better about realizing this but when I get to the point where I'm like doing all the things and you know, working and working out and planning parties and like doing doing doing doing doing it's like it's only a matter of time before I'm gonna like Crash and Burn and are your are you me?	-1.0
1	This is I know yeah.	1.0
3	Well, yeah and it's I was trying to explain this to my husband a little bit because he he's German he comes from a very like we don't talk about her feelings kind of family. And so For him anxiety is its he doesn't really understand kind of how it is. And it's like it's almost like you have like a trillion things just coming at you all the time all the time all the time and you have to figure out which ones are like real and which ones are trying to trick you and especially when you throw in like a little bit of like depression your brain is like go go go go go go go, but then the depression is like Buddha can't	-1.0
1	That sounds great because I'm worthless anyways, and I don't have any purpose anyways, and yes, and I think one of the things I learned from going to therapy was that I'm really good at playing at a situation that's occurred. And then I try to like then I replay that story over and over and over in my head of well, why did they say it that way or how did what did I do wrong? And it's always what did I do wrong? And then I'm basically become Steven Spielberg and I've like made all these movies in my head of how they should have gone or could have gone. And I've been like look down. Like I've just spent two hours consumed by a probably that something that's not even real that nobody cares about. Yeah. It's all in your head and it just spins and Spins and Spins and it's like well get out of your head and like go for a walk or something right and I think for me to like I'm	-1.0
3	I'm naturally very like caring and thoughtful and I want to be there for other people and this year has been really hard for my family and a lot of people around my family. We've had unexpected deaths and just sickness and just so many cancer and things where it's like, I wouldn't my dad called and said, you know, Mom has to start treatment. I kind of freaked out for about 30 seconds and then I was like, it's okay. I'm gonna you know, I'm gonna drive heard all the appointments. I'm going to make dinner every time and I'm gonna learn how to crochet and I'm going to make her head Cinema and it was like I was going to fix it by doing doing doing doing and then I kind of went through a phase where I was like crap. I can't fix any of this no matter what you do and I think that's where anxiety gets tricky for people like us it's because it's like you can't fix it. Like when your dad was going through that there's there's nothing you can do and feeling powerless hmm to somebody like us who is very Very successful at fixing things. Yeah, it's it's hard because then you have to just be yeah and being is hard hard so hard.	1.0
